id,answer
0,16.15
1,16.13
2,16.05
3,15.92
4,15.9
5,16.08
6,16.27
7,16.25
8,16.23
9,16.14
10,16.21
11,16.21
12,16.22
13,16.32
14,16.42
15,16.51
16,16.54
17,16.56
18,16.55
19,16.53
20,16.55
21,16.53
22,16.55
23,16.51
24,16.52
25,16.46
26,16.37
27,16.32
28,16.24
29,16.16
30,16.14
31,16.15
32,16.15
33,16.13
34,16.1
35,16.1
36,16.16
37,16.16
38,16.15
39,16.12
40,16.12
41,16.12
42,16.11
43,16.09
44,16.11
45,16.1
46,16.11
47,16.13
48,16.15
49,16.18
50,16.22
51,16.23
52,16.25
53,16.24
54,16.22
55,16.18
56,16.1
57,16.07
58,16.05
59,16.03
60,16.01
61,16.03
62,16.07
63,16.09
64,16.09
65,16.12
66,16.16
67,16.2
68,16.22
69,16.23
70,16.21
71,16.2
72,16.17
73,16.17
74,16.14
75,16.12
76,16.11
77,16.09
78,16.15
79,16.19
80,16.22
81,16.21
82,16.14
83,16.12
84,16.12
85,16.1
86,16.08
87,16.04
88,16.02
89,16.01
90,16.01
91,16.02
92,16.02
93,16.02
94,16.02
95,16.02
96,16.02
97,16.03
98,16.01
99,16.0
100,15.97
101,15.98
102,15.98
103,15.95
104,15.92
105,15.92
106,15.92
107,15.92
108,15.9
109,15.86
110,15.87
111,15.87
112,15.96
113,16.12
114,16.46
115,16.61
116,16.73
117,16.79
118,16.83
119,16.88
120,16.91
121,16.94
122,16.96
123,16.97
124,16.97
125,16.98
126,16.98
127,16.95
128,16.93
129,16.9
130,16.85
131,16.79
132,16.78
133,16.79
134,16.67
135,16.62
136,16.59
137,16.59
138,16.59
139,16.59
140,16.6
141,16.61
142,16.61
143,16.61
144,16.57
145,16.57
146,16.58
147,16.58
148,16.6
149,16.6
150,16.59
151,16.59
152,16.6
153,16.6
154,16.61
155,16.62
156,16.63
157,16.63
158,16.63
159,16.63
160,16.63
161,16.63
162,16.62
163,16.61
164,16.61
165,16.59
166,16.58
167,16.56
168,16.54
169,16.52
170,16.56
171,16.58
172,16.62
173,16.65
174,16.68
175,16.7
176,16.72
177,16.74
178,16.77
179,16.86
180,16.91
181,17.01
182,17.12
183,17.22
184,17.27
185,17.32
186,17.35
187,17.41
188,17.45
189,17.45
190,17.47
191,17.52
192,17.58
193,17.58
194,17.57
195,17.56
196,17.55
197,17.57
198,17.64
199,17.69
200,17.75
201,17.78
202,17.77
203,17.76
204,17.74
205,17.72
206,17.69
207,17.6
208,17.53
209,17.47
210,17.39
211,17.24
212,17.02
213,16.85
214,16.62
215,16.53
216,16.5
217,16.47
218,16.5
219,16.54
220,16.6
221,16.64
222,16.7
223,16.75
224,16.8
225,16.82
226,16.85
227,16.87
228,16.9
229,16.92
230,16.95
231,16.98
232,16.98
233,16.98
234,16.94
235,16.89
236,16.93
237,16.93
238,16.92
239,16.91
240,16.91
241,16.91
242,16.91
243,16.92
244,16.95
245,16.98
246,16.99
247,17.0
248,17.01
249,17.03
250,17.03
251,17.0
252,16.99
253,16.96
254,16.93
255,16.92
256,16.85
257,16.8
258,16.8
259,16.77
260,16.71
261,16.67
262,16.62
263,16.57
264,16.56
265,16.53
266,16.5
267,16.45
268,16.41
269,16.4
270,16.38
271,16.33
272,16.31
273,16.33
274,16.3
275,16.33
276,16.38
277,16.46
278,16.5
279,16.52
280,16.51
281,16.48
282,16.44
283,16.41
284,16.38
285,16.32
286,16.22
287,16.11
288,15.99
289,15.88
