id,answer
0,2020-03-16
1,2020-03-16
2,2020-03-16
3,2020-03-16
4,2020-03-16
5,2020-03-16
6,2020-03-16
7,2020-03-16
8,2020-03-16
9,2020-03-16
10,2020-03-16
11,2020-03-16
12,2020-03-16
13,2020-03-16
14,2020-03-16
15,2020-03-16
16,2020-03-16
17,2020-03-16
18,2020-03-16
19,2020-03-16
20,2020-03-16
21,2020-03-16
22,2020-03-16
23,2020-03-16
24,2020-03-16
25,2020-03-16
26,2020-03-16
27,2020-03-16
28,2020-03-16
29,2020-03-16
30,2020-03-16
31,2020-03-16
32,2020-03-16
33,2020-03-16
34,2020-03-16
35,2020-03-16
36,2020-03-16
37,2020-03-16
38,2020-03-16
39,2020-03-16
40,2020-03-16
41,2020-03-16
42,2020-03-16
43,2020-03-16
44,2020-03-16
45,2020-03-16
46,2020-03-16
47,2020-03-16
48,2020-03-16
49,2020-03-16
50,2020-03-16
51,2020-03-16
52,2020-03-16
53,2020-03-16
54,2020-03-16
55,2020-03-16
56,2020-03-16
57,2020-03-16
58,2020-03-16
59,2020-03-16
60,2020-03-16
61,2020-03-16
62,2020-03-16
63,9
64,9
65,9
66,9
67,9
68,9
69,9
70,9
71,9
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,11
100,11
101,11
102,11
103,11
104,11
105,11
106,11
107,11
108,11
109,11
110,11
111,11
112,11
113,11
114,11
115,11
116,11
117,11
118,11
119,11
120,11
121,11
122,11
123,11
124,11
125,11
126,16750.0
127,16750.0
128,16750.0
129,16750.0
130,16750.0
131,16750.0
132,16750.0
133,16750.0
134,16750.0
135,18587.72
136,18587.72
137,18587.72
138,18587.72
139,18587.72
140,18587.72
141,18587.72
142,18587.72
143,18587.72
144,18587.72
145,18587.72
146,18587.72
147,18587.72
148,18587.72
149,18587.72
150,18587.72
151,18587.72
152,18587.72
153,18587.72
154,18587.72
155,18587.72
156,18587.72
157,18587.72
158,18587.72
159,18587.72
160,18587.72
161,18587.72
162,19808.82
163,19808.82
164,19808.82
165,19808.82
166,19808.82
167,19808.82
168,19808.82
169,19808.82
170,19808.82
171,19808.82
172,19808.82
173,19808.82
174,19808.82
175,19808.82
176,19808.82
177,19808.82
178,19808.82
179,19808.82
180,19808.82
181,19808.82
182,19808.82
183,19808.82
184,19808.82
185,19808.82
186,19808.82
187,19808.82
188,19808.82
189,41500.0
190,41500.0
191,41500.0
192,41500.0
193,41500.0
194,41500.0
195,41500.0
196,41500.0
197,41500.0
198,41500.0
199,41500.0
200,41500.0
201,41500.0
202,41500.0
203,41500.0
204,41500.0
205,41500.0
206,41500.0
207,41500.0
208,41500.0
209,41500.0
210,41500.0
211,41500.0
212,41500.0
213,41500.0
214,41500.0
215,41500.0
216,41500.0
217,41500.0
218,41500.0
219,41500.0
220,41500.0
221,41500.0
222,41500.0
223,41500.0
224,41500.0
225,41500.0
226,41500.0
227,41500.0
228,41500.0
229,41500.0
230,41500.0
231,41500.0
232,41500.0
233,41500.0
234,41500.0
235,41500.0
236,41500.0
237,41500.0
238,41500.0
239,41500.0
240,41500.0
241,41500.0
242,41500.0
243,41500.0
244,41500.0
245,41500.0
246,41500.0
247,41500.0
248,41500.0
249,41500.0
250,41500.0
251,41500.0
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,46
262,46
263,46
264,46
265,46
266,46
267,46
268,46
269,46
270,46
271,46
272,46
273,46
274,46
275,46
276,46
277,46
278,46
279,46
280,46
281,46
282,46
283,46
284,46
285,46
286,46
287,46
288,66
289,66
290,66
291,66
292,66
293,66
294,66
295,66
296,66
297,66
298,66
299,66
300,66
301,66
302,66
303,66
304,66
305,66
306,66
307,66
308,66
309,66
310,66
311,66
312,66
313,66
314,66
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,5
325,5
326,5
327,5
328,5
329,5
330,5
331,5
332,5
333,5
334,5
335,5
336,5
337,5
338,5
339,5
340,5
341,5
342,5
343,5
344,5
345,5
346,5
347,5
348,5
349,5
350,5
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,5
388,0
389,0
390,5
391,0
392,0
393,5
394,0
395,0
396,5
397,0
398,0
399,5
400,0
401,0
402,5
403,0
404,0
405,5
406,0
407,0
408,5
409,0
410,0
411,5
412,0
413,0
414,4
415,0
416,0
417,4
418,0
419,0
420,4
421,0
422,0
423,4
424,0
425,0
426,4
427,0
428,0
429,4
430,0
431,0
432,4
433,0
434,0
435,4
436,0
437,0
438,4
439,0
440,0
441,0
442,7
443,0
444,0
445,7
446,0
447,0
448,7
449,0
450,0
451,0
452,0
453,31
454,31
455,31
456,0
457,0
458,0
459,0
460,0
461,0
462,31
463,31
464,31
465,0
466,0
467,0
468,0
469,0
470,0
471,31
472,31
473,31
474,0
475,0
476,0
477,0
478,0
479,0
480,39
481,39
482,39
483,0
484,0
485,0
486,0
487,0
488,0
489,39
490,39
491,39
492,0
493,0
494,0
495,0
496,0
497,0
498,39
499,39
500,39
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,21
532,21
533,21
534,21
535,21
536,21
537,21
538,21
539,21
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,25
559,25
560,25
561,25
562,25
563,25
564,25
565,25
566,25
